dataset,subject,model,uncertainty_score,coverage,target_coverage,score_cutoff,risk,accuracy,n_covered
BCI_IV_2a,1,v1_lda,max-prob,0.052083333333333336,0.05,0.8011724597865343,0.0,1.0,15
BCI_IV_2a,1,v1_lda,max-prob,0.10069444444444445,0.1,0.7577859510391143,0.0,1.0,29
BCI_IV_2a,1,v1_lda,max-prob,0.1527777777777778,0.15,0.7218746090136045,0.0,1.0,44
BCI_IV_2a,1,v1_lda,max-prob,0.2013888888888889,0.2,0.68719209929393,0.017241379310344862,0.9827586206896551,58
BCI_IV_2a,1,v1_lda,max-prob,0.25,0.25,0.6715117615777694,0.04166666666666663,0.9583333333333334,72
BCI_IV_2a,1,v1_lda,max-prob,0.3020833333333333,0.3,0.6543861531513149,0.05747126436781613,0.9425287356321839,87
BCI_IV_2a,1,v1_lda,max-prob,0.3506944444444444,0.35,0.6289424649568864,0.09900990099009899,0.900990099009901,101
BCI_IV_2a,1,v1_lda,max-prob,0.4027777777777778,0.4,0.61150547949061,0.13793103448275867,0.8620689655172413,116
BCI_IV_2a,1,v1_lda,max-prob,0.4513888888888889,0.45,0.5957536190226939,0.1384615384615384,0.8615384615384616,130
BCI_IV_2a,1,v1_lda,max-prob,0.5,0.5,0.5674643954473968,0.13194444444444442,0.8680555555555556,144
BCI_IV_2a,1,v1_lda,max-prob,0.5520833333333334,0.55,0.5497576881767513,0.15094339622641506,0.8490566037735849,159
BCI_IV_2a,1,v1_lda,max-prob,0.6006944444444444,0.6,0.5210926279241729,0.1560693641618497,0.8439306358381503,173
BCI_IV_2a,1,v1_lda,max-prob,0.6527777777777778,0.65,0.5034827527421201,0.15957446808510634,0.8404255319148937,188
BCI_IV_2a,1,v1_lda,max-prob,0.7013888888888888,0.7,0.49567628179704265,0.1732673267326733,0.8267326732673267,202
BCI_IV_2a,1,v1_lda,max-prob,0.75,0.75,0.48000867489364896,0.18055555555555558,0.8194444444444444,216
BCI_IV_2a,1,v1_lda,max-prob,0.8020833333333334,0.8,0.46320136241756343,0.19913419913419916,0.8008658008658008,231
BCI_IV_2a,1,v1_lda,max-prob,0.8506944444444444,0.85,0.4403406567312391,0.2204081632653061,0.7795918367346939,245
BCI_IV_2a,1,v1_lda,max-prob,0.9027777777777778,0.9,0.4160886334776907,0.23076923076923073,0.7692307692307693,260
BCI_IV_2a,1,v1_lda,max-prob,0.9513888888888888,0.95,0.37210902065770646,0.24452554744525545,0.7554744525547445,274
BCI_IV_2a,1,v1_lda,max-prob,1.0,1.0,0.28286257169857787,0.2743055555555556,0.7256944444444444,288
BCI_IV_2a,1,eegnet_uncalibrated,max-prob,0.052083333333333336,0.05,0.9678058798369358,0.19999999999999996,0.8,15
BCI_IV_2a,1,eegnet_uncalibrated,max-prob,0.10069444444444445,0.1,0.9406388040858628,0.13793103448275867,0.8620689655172413,29
BCI_IV_2a,1,eegnet_uncalibrated,max-prob,0.1527777777777778,0.15,0.916153359971102,0.11363636363636365,0.8863636363636364,44
BCI_IV_2a,1,eegnet_uncalibrated,max-prob,0.2013888888888889,0.2,0.8810810619409459,0.13793103448275867,0.8620689655172413,58
BCI_IV_2a,1,eegnet_uncalibrated,max-prob,0.25,0.25,0.8577522462691904,0.1527777777777778,0.8472222222222222,72
BCI_IV_2a,1,eegnet_uncalibrated,max-prob,0.3020833333333333,0.3,0.8372792057939864,0.16091954022988508,0.8390804597701149,87
